Sample,,Probe target info,Height,Area,Intra ratio,Pre ratio,Final ratio,Stdev,RefPop,SamPop,d(nt),Width
167D,[17p (n=3)].[TP53-4b],17-007.519217,1060,9998,0.43,0.45,0.43,0.05,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.05,53
167D,[17p (n=3)].[TP53-1],17-007.531504,1468,13962,0.58,0.61,0.58,0.09,Decreased2StdDevBelowArbitraryBorder,Ambiguous,0,54
167D,[17q (n=5)].[NF1-18],17-026.577746,1048,13131,0.88,0.91,0.87,0.1,Equal,Equal,-0.01,57
167D,[17q (n=5)].[NF1-39],17-026.681489,2478,20485,0.91,0.95,0.9,0.1,Equal,Equal,0.03,61
167D,[17q (n=5)].[BRCA1-24],17-038.450829,1574,19460,0.92,0.96,0.91,0.11,Equal,Equal,-0.04,69
167D,[17q (n=5)].[BRCA1-15],17-038.479889,2337,24193,0.87,0.91,0.86,0.11,Equal,Equal,-0.05,55
167D,[17q (n=5)].[BRCA1-6],17-038.510430,1776,14002,0.91,0.95,0.9,0.11,Equal,Equal,0,49
167D,[18q (n=2)].[SMAD4-4],18-046.829678,1957,20046,0.96,1,0.95,0.13,Equal,Equal,0,54
167D,[18q (n=2)].[SMAD4-12],18-046.858705,1508,19881,0.97,1.01,0.94,1,Equal,Equal,0,67
167D,[19p (n=4)].[STK11-1],19-001.157954,2432,18732,1.14,1.2,1.13,0.18,Equal,Equal,-0.05,48
167D,[19p (n=4)].[STK11-3],19-001.170331,1675,14115,1.06,1.11,1.05,0.16,Equal,Equal,-0.02,55
167D,[19p (n=4)].[FKBP8-9],19-018.503959,1861,17456,1.08,1.13,1.07,0.18,Equal,Equal,-0.04,73
167D,[19p (n=4)].[FKBP8-4],19-018.511130,2022,16111,1.02,1.08,1.02,0.17,Equal,Equal,0.03,45
167D,[22q (n=2)].[SMARCB1-1],22-022.459352,2067,20126,1.13,1.18,1.13,0.22,Equal,Equal,0.01,46
167D,[22q (n=2)].[SMARCB1-9],22-022.506421,1724,13189,0.86,0.91,0.86,0.11,Equal,Equal,0.04,51
167D,[Xq (n=2)].[AMER1-2],X-063.326842,453,5498,1.1,1.14,1.05,1,Equal,Equal,0.03,44
167D,[Xq (n=2)].[AMER1-1],X-063.342134,2097,15139,1.31,1.39,1.29,0.31,Equal,Equal,0,49
167D,[References (n=12)].[PEX13*],02-061.126370,1658,23441,1.07,1.11,1.05,0.17,Equal,Equal,0.01,77
167D,[References (n=12)].[COL3A1*],02-189.557818,3189,25786,1.1,1.15,1.09,0.13,Equal,Equal,0.05,60
167D,[References (n=12)].[WHSC1*],04-001.902193,1242,17507,0.93,0.97,0.9,1,Equal,Equal,-0.08,82
167D,[References (n=12)].[KLKB1*],04-187.390323,2969,22112,1.01,1.06,1,0.11,Equal,Equal,0.02,55
167D,[References (n=12)].[IL4*],05-132.037607,3367,23703,1.15,1.22,1.14,0.19,Equal,Equal,0.02,55
167D,[References (n=12)].[EYS*],06-065.588251,1923,19805,0.99,1.04,0.99,0.14,Equal,Equal,0.02,50
167D,[References (n=12)].[SEC63*],06-108.321498,1563,19966,1.01,1.05,1,0.11,Equal,Equal,-0.01,58
167D,[References (n=12)].[MTMR2*],11-095.238425,2360,20123,1.28,1.35,1.28,0.22,Equal,Equal,0.04,58
167D,[References (n=12)].[MYH7*],14-022.972596,2104,15783,0.81,0.85,0.8,0.11,Equal,Equal,-0.01,52
167D,[References (n=12)].[SPG11*],15-042.653071,1220,15435,0.93,0.97,0.93,0.16,Equal,Equal,-0.06,56
167D,[References (n=12)].[PLCG2*],16-080.537323,1153,13068,0.68,0.71,0.68,0.09,Decreased2StdDevBelowArbitraryBorder,Ambiguous,-0.08,57
